Year,health_index,health_index_adjusted,income_index,income_index_ajusted,edu_index,edu_index_ajusted,index,index_ajusted,growth_rate,growth_rate_ajusted
2012,0.8994,0.827448,0.7895250980808588,0.490397969838376,0.8357769647277158,0.7429026715310826,0.8403684517924896,0.670512838918138,,
2013,0.9042615384615386,0.8319206153846155,0.7932039948995612,0.4926830441640965,0.8404041762761011,0.7509869958043291,0.8447386876455801,0.6751920288241902,0.520038067084605,0.6978523951311599
2014,0.9066,0.8340720000000001,0.8041595625378971,0.4994878793002136,0.8443568898626043,0.7585577674413841,0.850670421511547,0.6811441827895716,0.7021974905043749,0.8815497978770237
2015,0.9183846153846154,0.8449138461538461,0.8054866472720609,0.5003121718540784,0.8494067120950843,0.7648750410337496,0.8565108679507542,0.6863537251955658,0.68656982675257,0.7648222707649088
2016,0.9272307692307692,0.8530523076923077,0.8058439169372237,0.5005340828723684,0.8534442487139778,0.7703604999511877,0.8607386558365784,0.6902945447273617,0.4936058658472575,0.5741674281250608
2017,0.9116615384615384,0.8387286153846154,0.8041742903428502,0.4994970271862868,0.856525247701591,0.7741405097537225,0.8563303349068292,0.6870548147641327,-0.5121555654386878,-0.46932573753840634
2018,0.9195384615384616,0.8459753846153847,0.8024934489504845,0.4984530056492386,0.8602832021934921,0.7796287786288044,0.8594440566900855,0.6901708341433814,0.36361222490093326,0.4535328640872027
2019,0.9086615384615384,0.8359686153846154,0.8087220804032494,0.502321797441586,0.8650523825779901,0.7854827512133152,0.8598340069161274,0.6909334468257294,0.045372380320340966,0.110496219866274
2020,0.8929384615384616,0.8215033846153846,0.8019190209517257,0.4980962110076316,0.8690700271284391,0.7924287384518127,0.8537596106547718,0.6870066446452994,-0.7064615044875988,-0.5683329123044367
2021,0.9255692307692308,0.8515236923076925,0.8024189712192744,0.4984067452728778,0.8716164146530334,0.7981472829630291,0.865057878278692,0.6970884638368929,1.3233546636453264,1.467499516951376
2022,0.9187692307692308,0.8452676923076924,0.8095273328183211,0.5028219641247206,0.8741092791178513,0.803753367219664,0.8662991665720939,0.6990535385604371,0.14349193557683382,0.28189746717770525
